0,1,2,3
0.0,0.0,60.0,0.0
0.0,0.0,116.0,0.0
0.0,0.0,122.0,0.0
0.0,0.0,127.0,0.0
0.0,1.0,2.0,0.17258883248730966
0.0,1.0,11.0,0.22831050228310504
0.0,1.0,18.0,0.2657004830917874
0.0,1.0,51.0,0.2110091743119266
0.0,1.0,55.0,0.0
0.0,1.0,118.0,0.20930232558139536
0.0,1.0,153.0,0.1981132075471698
0.0,1.0,154.0,0.22065727699530518
0.0,2.0,4.0,0.0
0.0,2.0,59.0,0.0
0.0,2.0,80.0,0.0
0.0,2.0,85.0,0.0
0.0,2.0,104.0,0.0
0.0,2.0,128.0,0.0
0.0,2.0,162.0,0.0
0.0,3.0,61.0,0.6301369863013698
0.0,3.0,70.0,0.410958904109589
0.0,3.0,134.0,0.5623987034035656
0.0,4.0,57.0,0.0
0.0,4.0,102.0,0.034482758620689724
0.0,4.0,113.0,0.023255813953488413
0.0,4.0,124.0,0.04494382022471921
0.0,4.0,142.0,0.1964285714285714
0.0,4.0,158.0,0.0
0.0,5.0,44.0,0.45238095238095244
0.0,5.0,61.0,0.3166666666666667
0.0,5.0,70.0,0.29508196721311475
0.0,5.0,113.0,0.25
0.0,5.0,134.0,0.4401805869074493
0.0,6.0,28.0,0.0958904109589041
0.0,6.0,29.0,0.09472259810554805
0.0,6.0,49.0,0.08641975308641975
0.0,6.0,73.0,0.09876543209876541
0.0,6.0,86.0,0.07142857142857144
0.0,6.0,97.0,0.10000000000000003
0.0,6.0,115.0,0.08860759493670885
0.0,7.0,23.0,1.0
0.0,7.0,25.0,1.0
0.0,7.0,36.0,1.0
0.0,7.0,39.0,1.0
0.0,7.0,77.0,1.0
0.0,7.0,123.0,1.0
0.0,7.0,126.0,1.0
0.0,7.0,131.0,1.0
0.0,8.0,0.0,0.33928571428571425
0.0,8.0,58.0,0.37499999999999994
0.0,8.0,64.0,0.3571428571428571
0.0,8.0,99.0,0.27083333333333326
0.0,8.0,120.0,0.3508771929824561
0.0,8.0,125.0,0.34545454545454546
0.0,8.0,137.0,0.32758620689655177
0.0,8.0,147.0,0.35714285714285715
0.0,8.0,152.0,0.31428571428571433
0.0,8.0,156.0,0.35714285714285715
0.0,9.0,19.0,0.21000000000000002
0.0,9.0,26.0,0.2033898305084746
0.0,9.0,41.0,0.10204081632653061
0.0,9.0,94.0,0.09729729729729729
0.0,9.0,101.0,0.12658227848101267
0.0,9.0,133.0,0.04918032786885245
0.0,10.0,121.0,0.0
0.0,11.0,46.0,0.2432432432432432
0.0,11.0,134.0,0.06338028169014084
0.0,12.0,3.0,0.04761904761904767
0.0,12.0,76.0,0.4651162790697675
0.0,12.0,107.0,0.06349206349206354
0.0,13.0,28.0,0.06666666666666665
0.0,13.0,29.0,0.0
0.0,13.0,49.0,0.0
0.0,13.0,73.0,0.0
0.0,13.0,82.0,0.0
0.0,13.0,86.0,0.07851239669421484
0.0,13.0,97.0,0.0
0.0,14.0,6.0,0.02020202020202022
0.0,14.0,14.0,0.030612244897959218
0.0,14.0,79.0,0.05940594059405935
0.0,14.0,96.0,0.010204081632653073
0.0,14.0,108.0,0.22549019607843124
0.0,14.0,164.0,0.0
0.0,15.0,56.0,0.022727272727272707
0.0,15.0,109.0,0.0
0.0,16.0,112.0,0.4385964912280701
0.0,16.0,144.0,0.4247590808005931
0.0,17.0,0.0,0.6150627615062761
0.0,17.0,58.0,0.626984126984127
0.0,17.0,64.0,0.5866141732283464
0.0,17.0,99.0,0.6213991769547327
0.0,17.0,120.0,0.601593625498008
0.0,17.0,125.0,0.6282051282051282
0.0,17.0,136.0,0.6595744680851064
0.0,17.0,137.0,0.5912408759124088
0.0,17.0,147.0,0.606694560669456
0.0,17.0,156.0,0.5975609756097561
0.0,17.0,160.0,0.5202020202020203
0.0,18.0,7.0,0.2804878048780488
0.0,18.0,17.0,0.32
0.0,18.0,78.0,0.29528535980148884
0.0,18.0,87.0,0.32323232323232326
0.0,18.0,90.0,0.24083769633507857
0.0,18.0,167.0,0.3438914027149321
0.0,19.0,7.0,0.2941176470588236
0.0,19.0,17.0,0.22794117647058826
0.0,19.0,63.0,0.19583333333333336
0.0,19.0,78.0,0.19607843137254904
0.0,19.0,87.0,0.27340823970037453
