0,1,2,3
0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.03793082850486827
0.0,0.0,2.0,0.0
0.0,0.0,3.0,0.0
0.0,0.0,4.0,0.0
0.0,0.0,5.0,1.0
0.0,0.0,6.0,0.0
0.0,0.0,7.0,0.8090658098827079
0.0,0.0,8.0,0.03066024862266173
0.0,0.0,9.0,0.0
0.0,0.0,10.0,0.7522532220003881
0.0,0.0,11.0,1.0
0.0,0.0,12.0,0.539681861501675
0.0,0.0,13.0,0.4550253807106599
0.0,0.0,14.0,0.49570306321505775
0.0,0.0,15.0,0.4919197407876995
0.0,0.0,16.0,0.39046070580746806
0.0,0.0,17.0,0.5086838701730615
0.0,0.0,18.0,0.49665920318441914
0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0
0.0,1.0,2.0,0.0
0.0,1.0,3.0,1.0
0.0,1.0,4.0,0.0
0.0,1.0,5.0,0.36419669898643126
0.0,1.0,6.0,0.0
0.0,1.0,7.0,0.9624597909103576
0.0,1.0,8.0,0.018653881200158706
0.0,1.0,9.0,0.0
0.0,1.0,10.0,1.0
0.0,1.0,11.0,1.0
0.0,1.0,12.0,0.26403087408177006
0.0,1.0,13.0,0.019965714075048078
0.0,1.0,14.0,0.4207464202599785
0.0,1.0,15.0,0.6329308139219636
0.0,1.0,16.0,0.7205725883086799
0.0,1.0,17.0,0.32974540490057463
0.0,1.0,18.0,0.7075581096894017
0.0,2.0,0.0,0.0
0.0,2.0,1.0,0.22047479356801392
0.0,2.0,2.0,0.0
0.0,2.0,3.0,0.0
0.0,2.0,4.0,0.0
0.0,2.0,5.0,0.5755599380194393
0.0,2.0,6.0,0.028532855660386325
0.0,2.0,7.0,0.9313687338318177
0.0,2.0,8.0,0.029547548218743114
0.0,2.0,9.0,0.0
0.0,2.0,10.0,0.47044851061737364
0.0,2.0,11.0,1.0
0.0,2.0,12.0,0.044136401153437976
0.0,2.0,13.0,0.553975646708939
0.0,2.0,14.0,0.3213597224007197
0.0,2.0,15.0,0.3657139675292133
0.0,2.0,16.0,0.9634034148468503
0.0,2.0,17.0,0.6165258195325121
0.0,2.0,18.0,0.28595120513009503
0.0,3.0,0.0,0.050554132410249863
0.0,3.0,1.0,1.0
0.0,3.0,2.0,0.0
0.0,3.0,3.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.46298031865042166
0.0,3.0,6.0,0.19714437014937847
0.0,3.0,7.0,0.8504960522918439
0.0,3.0,8.0,0.0
0.0,3.0,9.0,0.05115273827953054
0.0,3.0,10.0,0.6365513314289853
0.0,3.0,11.0,1.0
0.0,3.0,12.0,0.08039349282056074
0.0,3.0,13.0,0.20178316090503826
0.0,3.0,14.0,0.0
0.0,3.0,15.0,0.47537728355837966
0.0,3.0,16.0,0.6103357958322317
0.0,3.0,17.0,0.0
0.0,3.0,18.0,0.30924252953439885
0.0,4.0,0.0,0.05213916963461074
0.0,4.0,1.0,0.21008408065473191
0.0,4.0,2.0,0.0
0.0,4.0,3.0,0.051719571037899315
0.0,4.0,4.0,0.0
0.0,4.0,5.0,0.8225897986760292
0.0,4.0,6.0,0.03507159397633508
0.0,4.0,7.0,0.37485493141889004
0.0,4.0,8.0,0.0
0.0,4.0,9.0,0.0245363347440683
0.0,4.0,10.0,0.5310272515941609
0.0,4.0,11.0,0.43598573551128317
0.0,4.0,12.0,1.0
0.0,4.0,13.0,0.0
0.0,4.0,14.0,0.5249459768444955
0.0,4.0,15.0,0.2781936034505829
0.0,4.0,16.0,0.7723879420977044
0.0,4.0,17.0,0.43374924749362764
0.0,4.0,18.0,0.5176291265876583
0.0,5.0,0.0,0.0
0.0,5.0,1.0,0.9178716842067027
0.0,5.0,2.0,0.0
0.0,5.0,3.0,0.0
0.0,5.0,4.0,0.0
0.0,5.0,5.0,0.26321375003537495
0.0,5.0,6.0,0.1880333973137862
0.0,5.0,7.0,0.7119531998494713
0.0,5.0,8.0,0.0
0.0,5.0,9.0,0.0
0.0,5.0,10.0,0.12647021198719433
0.0,5.0,11.0,1.0
0.0,5.0,12.0,0.16812285266782534
0.0,5.0,13.0,0.21809687679805978
0.0,5.0,14.0,0.38981877231954565
0.0,5.0,15.0,0.985111253849828
0.0,5.0,16.0,0.2760823586369555
0.0,5.0,17.0,0.0
0.0,5.0,18.0,0.07241164208332018
0.0,6.0,0.0,0.06354574420476133
0.0,6.0,1.0,0.5508030252116313
0.0,6.0,2.0,0.0
0.0,6.0,3.0,0.37958416989933486
0.0,6.0,4.0,0.0
0.0,6.0,5.0,0.34854922790613896
0.0,6.0,6.0,0.05483315238084341
0.0,6.0,7.0,0.8783601873175837
0.0,6.0,8.0,0.0
0.0,6.0,9.0,0.0
0.0,6.0,10.0,0.6420467348878974
0.0,6.0,11.0,1.0
0.0,6.0,12.0,0.20696643342362409
0.0,6.0,13.0,0.4702818540837421
0.0,6.0,14.0,0.407499918032054
0.0,6.0,15.0,0.4008588687131635
0.0,6.0,16.0,0.84951636171598
0.0,6.0,17.0,0.4543486641164784
0.0,6.0,18.0,0.3437144320509902
0.0,7.0,0.0,0.48788416313282923
0.0,7.0,1.0,0.757009545367187
0.0,7.0,2.0,1.0
0.0,7.0,3.0,0.0
0.0,7.0,4.0,0.0
0.0,7.0,5.0,0.4328390110761856
0.0,7.0,6.0,0.2666635704316862
0.0,7.0,7.0,0.7561993484260117
0.0,7.0,8.0,0.07487368633494335
0.0,7.0,9.0,0.11966214243353218
0.0,7.0,10.0,0.5790894627325331
0.0,7.0,11.0,1.0
0.0,7.0,12.0,0.5807389483421908
0.0,7.0,13.0,0.4038300769095604
0.0,7.0,14.0,0.3001431273782228
0.0,7.0,15.0,0.2276403207158826
0.0,7.0,16.0,0.21211367020446206
0.0,7.0,17.0,0.7100393226867829
0.0,7.0,18.0,0.32392984958671367
0.0,8.0,0.0,0.7222059536210601
0.0,8.0,1.0,0.4261137388626114
0.0,8.0,2.0,0.0
0.0,8.0,3.0,0.1522912587672557
0.0,8.0,4.0,1.0
0.0,8.0,5.0,0.6290445600081573
0.0,8.0,6.0,0.261780301012541
0.0,8.0,7.0,0.7461051375270402
0.0,8.0,8.0,0.0
0.0,8.0,9.0,0.0
0.0,8.0,10.0,0.07126430748873358
0.0,8.0,11.0,1.0
0.0,8.0,12.0,0.480048116328605
0.0,8.0,13.0,0.7481951405818703
0.0,8.0,14.0,0.4980073408234459
0.0,8.0,15.0,0.27184185377019005
0.0,8.0,16.0,0.7369784661584562
0.0,8.0,17.0,0.7319388625015223
0.0,8.0,18.0,0.3157793638738846
0.0,9.0,0.0,0.10064118399108146
0.0,9.0,1.0,0.32696467195385726
0.0,9.0,2.0,0.0
0.0,9.0,3.0,0.0
0.0,9.0,4.0,0.0
0.0,9.0,5.0,0.36655365449814714
0.0,9.0,6.0,0.15238051114260998
0.0,9.0,7.0,0.7095028403648266
0.0,9.0,8.0,0.0
0.0,9.0,9.0,0.0
0.0,9.0,10.0,0.11759294647319818
0.0,9.0,11.0,1.0
0.0,9.0,12.0,0.9089605860578542
0.0,9.0,13.0,0.26201155869921505
0.0,9.0,14.0,0.4052722745480134
0.0,9.0,15.0,0.37494902813646863
0.0,9.0,16.0,0.5486325976278925
0.0,9.0,17.0,0.6415197734952964
0.0,9.0,18.0,0.40294422251812395
0.0,10.0,0.0,0.0
0.0,10.0,1.0,0.08106588213132103
0.0,10.0,2.0,0.0
0.0,10.0,3.0,0.0
0.0,10.0,4.0,0.0
0.0,10.0,5.0,0.9285725928513214
0.0,10.0,6.0,0.0
0.0,10.0,7.0,1.0
0.0,10.0,8.0,0.0
0.0,10.0,9.0,0.0
0.0,10.0,10.0,0.9999999999999999
0.0,10.0,11.0,1.0
0.0,10.0,12.0,1.0
0.0,10.0,13.0,0.19701453790238838
0.0,10.0,14.0,0.42354460799038757
0.0,10.0,15.0,0.554413309982487
0.0,10.0,16.0,0.0841469536311944
0.0,10.0,17.0,0.4447442550037064
0.0,10.0,18.0,0.5382295937383526
0.0,11.0,0.0,0.0
0.0,11.0,1.0,0.12100307634939877
0.0,11.0,2.0,0.0
0.0,11.0,3.0,0.0
0.0,11.0,4.0,0.0
0.0,11.0,5.0,0.5652243793858451
0.0,11.0,6.0,0.0
0.0,11.0,7.0,1.0000000000000002
0.0,11.0,8.0,0.0
0.0,11.0,9.0,0.007675264900340817
0.0,11.0,10.0,1.0
0.0,11.0,11.0,0.9318727383178553
0.0,11.0,12.0,0.47659156432391797
0.0,11.0,13.0,0.22900280025477418
0.0,11.0,14.0,0.5003375970591546
0.0,11.0,15.0,0.5468692406929598
0.0,11.0,16.0,0.2558359059185151
0.0,11.0,17.0,0.27884903961584634
0.0,11.0,18.0,0.4474675001775947
0.0,12.0,0.0,0.07308757013658962
0.0,12.0,1.0,0.6243093922651933
0.0,12.0,2.0,0.0
0.0,12.0,3.0,0.39081225033288947
0.0,12.0,4.0,0.0
0.0,12.0,5.0,0.21818181818181825
0.0,12.0,6.0,0.10415277503065301
0.0,12.0,7.0,0.647781634722826
0.0,12.0,8.0,0.0
0.0,12.0,9.0,0.0
0.0,12.0,10.0,0.7681253419950317
0.0,12.0,11.0,1.0
0.0,12.0,12.0,0.9999999999999996
0.0,12.0,13.0,0.0
0.0,12.0,14.0,0.5984443364122508
0.0,12.0,15.0,0.23737373737373735
0.0,12.0,16.0,0.7400965183923321
0.0,12.0,17.0,0.3403852226081465
0.0,12.0,18.0,0.6177351707609346
0.0,13.0,0.0,0.8492399866267677
0.0,13.0,1.0,0.0
0.0,13.0,2.0,1.0
0.0,13.0,3.0,0.0
0.0,13.0,4.0,0.0
0.0,13.0,5.0,0.0
0.0,13.0,6.0,0.0
0.0,13.0,7.0,0.9999999999999999
0.0,13.0,8.0,0.157187184039594
0.0,13.0,9.0,0.050000016114864654
0.0,13.0,10.0,0.4747951312676205
0.0,13.0,11.0,1.0
0.0,13.0,12.0,0.7790290247286817
0.0,13.0,13.0,0.3982385602144362
0.0,13.0,14.0,1.0
